responsibility_id,room_id,trc_id,legal_entity,start_date,change_number,employee_id
1,PA-01,TRC-01,ООО "ТРЦ Урал",2023-01-01,1,101
2,PA-01,TRC-01,ООО "ТРЦ Урал",2023-07-01,2,102
3,PA-01,TRC-02,ООО "ТРЦ Сибирь",2023-01-01,1,103
4,PA-01,TRC-02,ООО "ТРЦ Сибирь",2023-09-01,2,104
5,PA-02,TRC-01,ООО "ТРЦ Урал",2023-01-01,1,105
6,PA-02,TRC-01,ООО "ТРЦ Урал",2024-01-01,2,106
7,PA-02,TRC-02,ООО "ТРЦ Сибирь",2023-03-01,1,107
8,PB-01,TRC-01,ООО "ТРЦ Урал",2023-01-01,1,108
9,PB-01,TRC-02,ООО "ТРЦ Сибирь",2023-02-01,1,109
10,PA-01,TRC-03,ЗАО "ТРЦ Восток",2023-05-01,1,110
11,PA-02,TRC-01,ООО "Управляющая компания",2023-04-01,1,111
