contract_id,contract_number,tenant_name,start_date,end_date,rent_amount,room_id,trc_id,legal_entity
CTR-2023-001,235/2023,ООО "Модный стиль",2023-02-01,2024-01-31,150000,PA-01,TRC-01,ООО "ТРЦ Урал"
CTR-2023-002,236/2023,ИП Петров А.В.,2023-01-01,2023-12-31,180000,PA-02,TRC-01,ООО "ТРЦ Урал"
CTR-2024-015,015/2024,ООО "Технодом",2024-03-01,2025-02-28,160000,PA-01,TRC-01,ООО "ТРЦ Урал"
CTR-2024-001,001/2024,ООО "Модный стиль",2024-01-01,2024-12-31,155000,PA-01,TRC-01,ООО "ТРЦ Урал"
CTR-2024-002,002/2024,ИП Сидорова М.К.,2024-01-01,2024-12-31,190000,PA-02,TRC-01,ООО "ТРЦ Урал"
CTR-2023-101,101/2023,ООО "Спортмастер",2023-01-01,2023-09-30,140000,PA-01,TRC-02,ООО "ТРЦ Сибирь"
CTR-2024-101,101/2024,ООО "Детский мир",2024-01-01,2024-12-31,145000,PA-01,TRC-02,ООО "ТРЦ Сибирь"
CTR-2023-102,102/2023,ООО "Макдональдс",2023-02-01,2024-03-31,300000,PB-01,TRC-02,ООО "ТРЦ Сибирь"
CTR-2023-301,301/2023,ИП Козлов С.Н.,2023-08-01,2024-07-31,135000,PA-01,TRC-03,ЗАО "ТРЦ Восток"
CTR-2023-005,005/2023,ООО "Евросеть",2023-04-01,2024-06-30,170000,PA-02,TRC-01,ООО "Управляющая компания"
CTR-2024-005,005/2024,ООО "Связной",2024-01-01,2024-12-31,175000,PA-02,TRC-01,ООО "Управляющая компания"
