responsibility_id,room_id,trc_id,legal_entity,start_date,change_number,employee_id
1,PA-01,TRC-01,ООО "ТРЦ Урал",2023-02-01,1,201
2,PA-01,TRC-01,ООО "ТРЦ Урал",2023-08-01,2,202
3,PA-01,TRC-02,ООО "ТРЦ Сибирь",2023-04-01,1,203
4,PA-02,TRC-01,ООО "ТРЦ Урал",2023-06-01,1,204
5,PA-02,TRC-02,ООО "ТРЦ Сибирь",2023-07-01,1,205
6,PB-01,TRC-01,ООО "ТРЦ Урал",2023-03-01,1,206
7,PB-01,TRC-02,ООО "ТРЦ Сибирь",2023-05-01,1,207
8,PA-01,TRC-03,ЗАО "ТРЦ Восток",2023-09-01,1,208
9,PA-02,TRC-03,ЗАО "ТРЦ Восток",2023-10-01,1,209
10,PB-01,TRC-03,ЗАО "ТРЦ Восток",2023-11-01,1,210
11,PA-02,TRC-01,ООО "Управляющая компания",2023-05-01,1,211
