financial_model_id,trc_id,legal_entity,room_id,change_number,start_date,status,contract_id,contract_id_next
1,TRC-01,ООО "ТРЦ Урал",PA-01,1,2023-01-01,Свободен,NULL,CTR-2023-001
1,TRC-01,ООО "ТРЦ Урал",PA-01,2,2023-02-01,Арендован,CTR-2023-001,NULL
1,TRC-01,ООО "ТРЦ Урал",PA-01,3,2024-01-01,Свободен,CTR-2023-001,CTR-2024-015
1,TRC-01,ООО "ТРЦ Урал",PA-01,4,2024-03-01,Арендован,CTR-2024-015,NULL
2,TRC-01,ООО "ТРЦ Урал",PA-01,1,2024-01-01,Арендован,CTR-2024-001,NULL
1,TRC-01,ООО "ТРЦ Урал",PA-02,1,2023-01-01,Арендован,CTR-2023-002,NULL
1,TRC-01,ООО "ТРЦ Урал",PA-02,2,2024-06-01,Ремонт,CTR-2023-002,NULL
2,TRC-01,ООО "ТРЦ Урал",PA-02,1,2024-01-01,Арендован,CTR-2024-002,CTR-2024-016
1,TRC-02,ООО "ТРЦ Сибирь",PA-01,1,2023-01-01,Арендован,CTR-2023-101,NULL
1,TRC-02,ООО "ТРЦ Сибирь",PA-01,2,2023-10-01,Свободен,CTR-2023-101,CTR-2024-101
2,TRC-02,ООО "ТРЦ Сибирь",PA-01,1,2024-01-01,Арендован,CTR-2024-101,NULL
1,TRC-02,ООО "ТРЦ Сибирь",PB-01,1,2023-02-01,Арендован,CTR-2023-102,CTR-2024-102
1,TRC-02,ООО "ТРЦ Сибирь",PB-01,2,2024-04-01,Ремонт,CTR-2023-102,NULL
1,TRC-03,ЗАО "ТРЦ Восток",PA-01,1,2023-05-01,Свободен,NULL,CTR-2023-301
1,TRC-03,ЗАО "ТРЦ Восток",PA-01,2,2023-08-01,Арендован,CTR-2023-301,NULL
1,TRC-01,ООО "Управляющая компания",PA-02,1,2023-04-01,Арендован,CTR-2023-005,NULL
1,TRC-01,ООО "Управляющая компания",PA-02,2,2024-07-01,Свободен,CTR-2023-005,NULL
2,TRC-01,ООО "Управляющая компания",PA-02,1,2024-01-01,Арендован,CTR-2024-005,NULL
